key,en,ar
SDN-942B97552203-658B36248286-X-368048,Ritreirit,
SDN-942B91082353-658B90307628-X-372664,Keibo,
SDN-942B69992162-658B5492704-X-364842,Umm Maţāriq,أمّ مطارق
SDN-942B97552203-658B36248286-X-372409,Kileigau,
SDN-942B53073919-658B44321525-X-6854206,Farkat,فركت
SDN-942B51960613-658B15336674-X-7026669,Kamanzamu,كمنزم
SDN-942B86275988-658B26102505-X-376669,Dawmāyah,دوماية
SDN-942B90817386-658B3360231-X-376209,Dughaym,دغيم
SDN-942B80268870-658B60481889-X-7023154,Fareq Wad el Baqarv,Fareq Wad el Baqarv
SDN-942B3923818-658B75219108-X-8384700,Muda,مد
SDN-942B2883900-658B65143818-X-376174,Daleba,دل
SDN-942B3923818-658B20365797-X-7750967,Wara,ور
SDN-942B53073919-658B95748812-X-364877,Um Kiweka,أمّ كويكة
SDN-942B53073919-658B47689734-X-7028899,Qoz Al Habīl,Mekhīrif Qoz Al Habīl
SDN-942B91082353-658B90307628-X-377559,Bawadala,بودل
SDN-942B11096066-658B55709038-X-6992275,Hillat at Tomama,هلّة التومم
SDN-942B51960613-658B15786683-X-365132,Um Duwena,أمّ دوينة
SDN-942B93854462-658B64088994-X-8385257,Merenga,
SDN-942B86275988-658B58223905-X-8047334,Dakkar,دكّر
SDN-942B97861395-658B15644153-X-379608,Al Budayrīyah,البديريّة
SDN-942B51960613-658B51623620-X-372961,Kamlin el Abdullab,
SDN-942B97861395-658B15644153-X-7029451,Gardud el Badry,غأردد البدري
SDN-942B69992162-658B5492704-X-380023,Agari,أغأر
SDN-942B69992162-658B5492704-X-380023,Agari,أغأر
SDN-942B97861395-658B16224294-X-366315,Tāsē ‘Abd Assalām,تيسي عبد السلام
SDN-942B2883900-658B65201614-X-378463,Ar Rumaylah,الرميلة
SDN-942B6749338-658B87589856-X-380971,Abū Dawm,أبو دوم
SDN-942B1690804-658B59643855-X-369079,Numu,نم
SDN-942B80268870-658B14038138-X-369088,Hillat an Nikheila,نخيلة
SDN-942B93854462-658B86266976-X-8389556,Barmala,
SDN-942B69992162-658B5492704-X-375555,Fangoga,فنغوغأ
SDN-942B53073919-658B51731802-X-370744,Mal‘abah,ملعبة
SDN-942B97552203-658B38442198-X-380155,Ad Dereis,Ed Dereis
SDN-942B93854462-658B86266976-X-376078,Durti,
SDN-942B93854462-658B34022269-X-8389637,Karakir,
SDN-942B53073919-658B47689734-X-7018759,Sheikh Khamis,Sheikh Khamis
SDN-942B53073919-658B31729364-X-379481,Al Guruna,الغأرن
SDN-942B51960613-658B22792001-X-366666,Sunayţ,سنيط
SDN-942B69992162-658B74043765-X-367239,Shurkela,شركيلة
SDN-942B97552203-658B78689508-X-367212,Shaţţ,شطّ
SDN-942B51960613-658B59992430-X-7026245,Dalawat,دلوت
SDN-942B11096066-658B55709038-X-367148,Shaykh Ţalḩah,شيخ طلحة
SDN-942B80268870-658B14038138-X-369754,Mukabrab West,
SDN-942B51960613-658B21018606-X-370734,Malakīyah,ملكيّة
SDN-942B51960613-658B786718-X-7026385,Wad al Khidir,ود الخدر
SDN-942B11096066-658B86367930-X-7023580,Er Rawyan,Er Rawyan
SDN-942B51960613-658B59992430-X-366511,Tai es Sid,
SDN-942B51960613-658B77015060-X-371905,Kumur,كمر
SDN-942B3923818-658B10289929-X-371946,Kulme,Koulme
SDN-942B80268870-658B42379236-X-379158,El Makaylab,المكإلب
SDN-942B86275988-658B34506299-X-381148,‘Abd Allāh Bashīr,عبد الله بشير
SDN-942B51960613-658B15786683-X-366307,Ţayyibah,طيّبة
SDN-942B53073919-658B31729364-X-364077,Wad Quseim,
SDN-942B97861395-658B53081734-X-380826,Um Hashīma,أم هشيم
SDN-942B11096066-658B61474799-X-366610,Es Sururab,السررب
SDN-942B69992162-658B75251993-X-365051,Umm Ḩajar,أمّ حجر
SDN-942B11858188-658B96645241-X-369703,Munīrah,منيرة
SDN-942B11096066-658B61474799-X-6992469,Deim Karari,Deim Karari
SDN-942B93854462-658B23094141-X-367937,Rumaylah,رميلة
SDN-942B93854462-658B84587935-X-376259,Duhosh,دهوش
SDN-942B1690804-658B45814631-X-365767,Tongoro,تونغورو
SDN-942B51960613-658B15336674-X-377612,Basabir,بسبر
SDN-942B69992162-658B39799222-X-364928,Umm Ka‘ib,أمّ كعب
SDN-942B51960613-658B22792001-X-364823,Umm Muraykah,أمّ مريكة
SDN-942B3923818-658B61371907-X-376150,Dulayq,دليق
SDN-942B3923818-658B61371907-X-365551,Turo,ترو
SDN-942B53073919-658B51731802-X-379425,Al Ḩasan ‘Abd al Qādir,الحسن عبد القادر
SDN-942B51960613-658B15336674-X-369066,Nūr ad Dīn,نور الدين
SDN-942B82453041-658B53777192-X-371750,Kutayrāyah,كتيراية
SDN-942B80268870-658B14038138-X-370375,Mashra‘ Shababit,مشرع شببت
SDN-942B11096066-658B55709038-X-6991597,Hillat Ash Shekh Mustafa al Fadni,Hillat Ash Shekh Mustafa al Fadni
SDN-942B51960613-658B59992430-X-7026166,Al Ḩisen,Al Ḩisen
SDN-942B86275988-658B34506299-X-7037226,Madu,
SDN-942B88867350-658B88867350-X-363772,Wontwaig,وونتوإغ
SDN-942B69992162-658B75251993-X-365273,Umm Bayḑā’,أمّ بيضاء
SDN-942B97861395-658B73116180-X-7029662,Karungul,كرنغأل
SDN-942B51960613-658B51623620-X-6991697,Kambo az Zaghawa,كمبو الزغو
SDN-942B80268870-658B49744868-X-367308,Shendi,شندي
SDN-942B97861395-658B90615655-X-7031456,Al Gardoud,الغأردود
SDN-942B3923818-658B20729209-X-371079,Lujugo,لجغو
SDN-942B1690804-658B80869572-X-374654,Gubarshige,
SDN-942B91082353-658B282942-X-381202,Abania,أبنأ
SDN-942B53073919-658B47689734-X-378947,Al Wusā‘,الوساع
SDN-942B69992162-658B75251993-X-378341,‘Aşīdah,عصيدة
SDN-942B86275988-658B7364354-X-371331,Loda,لود
SDN-942B86275988-658B29195193-X-373698,Ḩumayyir,حميّر
SDN-942B1690804-658B80869572-X-374334,Ḩajar Gwira,حجر غور
SDN-942B51960613-658B15786683-X-7026107,Aţ Ţi‘emāb,Aţ Ţi‘emāb
SDN-942B82453041-658B70441121-X-374032,Hārūn,هارون
SDN-942B97861395-658B95846491-X-8068888,Umm Khameira,
SDN-942B69992162-658B74043765-X-365721,Totah,توتة
SDN-942B1690804-658B26042026-X-372540,Kharrāţ,خرّاط
SDN-942B53073919-658B31729364-X-367904,Ruqaybah,رقيبة
SDN-942B80268870-658B60481889-X-443980,Hillat el Qisesab,Hillat el Qisesab
SDN-942B86275988-658B58223905-X-8047330,Fashishoya,فششوي
SDN-942B53073919-658B51731802-X-6991959,Hillat esh Sheikh Taha,Hillat esh Sheikh Taha
SDN-942B51960613-658B22792001-X-364276,Wad al Kai,ود الكإ
SDN-942B11096066-658B86367930-X-444030,Hillat Ab Salih,هلّة أب سلة
SDN-942B2883900-658B27701575-X-367878,Şabāḩ al Khayr,صباح الخير
SDN-942B51960613-658B22792001-X-367262,Sharafat,شرفت
SDN-942B6749338-658B2878490-X-377454,Berkia,بركية
SDN-942B91082353-658B90307628-X-369818,Mudili,مدل
SDN-942B86275988-658B16334046-X-366882,Silo,
SDN-942B3923818-658B23361016-X-377354,Birganga,برغأنغأ
SDN-942B51960613-658B22792001-X-378142,Aţ Ţulayb,الطليب
SDN-942B3923818-658B4724147-X-7750362,Karonga,كرونغأ
SDN-942B11858188-658B54409955-X-376928,Conry,
SDN-942B69992162-658B39799222-X-368489,Qafalah,قفلة
SDN-942B69992162-658B37119158-X-367824,Şāfī,صافي
SDN-942B2883900-658B65201614-X-375198,Galegu,Jalequ
SDN-942B80268870-658B14038138-X-378366,Ash Shigil,الشغإل
SDN-942B11858188-658B23760782-X-367229,Shasheina,
SDN-942B97552203-658B7044114-X-364038,Wad Umm Asamm,ود أمّ أسمّ
SDN-942B1690804-658B38017091-X-376763,Daqqāq,دقّاق
SDN-942B6749338-658B12204731-X-364381,Usli,اوسلي
SDN-942B93854462-658B54406774-X-373439,Jadīd,جديد
SDN-942B97552203-658B36248286-X-364338,Wada‘ah,ودعة
SDN-942B90817386-658B17354406-X-380060,Aegir,
SDN-942B69992162-658B61272609-X-372537,Khartah,خرتة
SDN-942B86275988-658B16334046-X-375818,Endur,سغأر
SDN-942B86275988-658B16334046-X-375818,Endur,
SDN-942B86275988-658B3195466-X-371107,Lubānah,لبانة
SDN-942B97861395-658B5321418-X-377920,Bagaia,بغأأ
SDN-942B97552203-658B471537-X-376735,Dardog,دردوغ
SDN-942B97552203-658B36248286-X-365231,Umm Busa,أمّ بس
SDN-942B86275988-658B34506299-X-7746830,Furjili,فرجل
SDN-942B82453041-658B49381066-X-368228,Rahad al Marrah,رهد المرّة
SDN-942B97552203-658B90411134-X-379150,Al Mamsūkah,الممسوكة
SDN-942B53073919-658B31729364-X-375101,Gargarat,غأرغأرت
SDN-942B86275988-658B32902767-X-375145,Ganeima,
SDN-942B80268870-658B30942172-X-372603,Kereiti,
SDN-942B86275988-658B95310062-X-375081,Garula,غأرل
SDN-942B69992162-658B75251993-X-377591,Ba‘shūm,بعشوم
SDN-942B3923818-658B10289929-X-374177,Hamidiya,همدي
SDN-942B51960613-658B59992430-X-372031,Al Kidewa,كديوة
SDN-942B82453041-658B49381066-X-8047383,El ’Adara,El 'Adara
SDN-942B86275988-658B7364354-X-378963,El Uzeiriq,الأزيرق
SDN-942B2883900-658B65143818-X-368193,Rammāsh,رمّاش
SDN-942B3923818-658B75219108-X-372370,Kirbi,كرب
SDN-942B53073919-658B13785953-X-6854102,Al Jabalon,الجبلون
SDN-942B93854462-658B84587935-X-8384925,Nyelit,
SDN-942B51960613-658B15336674-X-379245,Al Khawr,الخور
SDN-942B93854462-658B67199928-X-376428,Dingajuri,دنجور
SDN-942B80268870-658B14038138-X-444075,El Haraza,El Haraza
SDN-942B53073919-658B13785953-X-378957,Al Warral,الورّل
SDN-942B80268870-658B60481889-X-443920,Ed Danaqla,Ed Danaqla
SDN-942B97552203-658B90411134-X-373326,Joghba,جوغب
SDN-942B97552203-658B56170266-X-363521,Zankor,زنكور
SDN-942B86275988-658B5901406-X-380606,Abū Rameinak,Abu Rameinak
SDN-942B51960613-658B15786683-X-6983228,Mi‘enja Khōjali,Mi‘enja Khōjali
SDN-942B91082353-658B77704874-X-380164,Ad Dawmah,الدومة
SDN-942B93854462-658B86266976-X-374001,Hashaba,
SDN-942B51960613-658B786718-X-6983265,Kambu Hashim,كمب هشم
SDN-942B97552203-658B36248286-X-365086,Umm Gernanchok,
SDN-942B86275988-658B98788246-X-377362,Bir el ‘As,بئر العس
SDN-942B11096066-658B86367930-X-373969,Hasiheisa,
SDN-942B69992162-658B5492704-X-375471,Farla,فرل
SDN-942B51960613-658B15336674-X-364204,Balula,بلل
SDN-942B91082353-658B69021719-X-378461,Ar Riqeba Sharq,الرقيبة
SDN-942B93854462-658B86266976-X-380283,Adaluta,أدلت
SDN-942B69992162-658B74043765-X-7028980,Abu Sifefa,Abu Sifefa
SDN-942B6749338-658B87167729-X-374803,Ginis West,Ginnis West
SDN-942B11858188-658B96645241-X-373367,Jazīrat Fāţimah,جزيرة فاطمة
SDN-942B97861395-658B91404659-X-6979643,Hillat Anjulosaja,هلّة أنجلوسج
SDN-942B53073919-658B95748812-X-7029138,Um Qellu,Um Qellu
SDN-942B97861395-658B91404659-X-372116,Kortala,كورتل
SDN-942B69992162-658B74043765-X-7028965,Farraqat,فرّقت
SDN-942B53073919-658B47689734-X-7028930,Ash Shiḩeţ,Ash Shiḩeţ
SDN-942B69992162-658B74043765-X-364764,Umm Qurūn,أمّ قرون
SDN-942B51960613-658B15786683-X-7026320,Al Firejab Al Bilela,Al Firejab Al Bilela
SDN-942B69992162-658B39799222-X-379001,Al ‘Ūd,العود
SDN-942B86275988-658B34506299-X-7037219,Dolum,دولم
SDN-942B91082353-658B90307628-X-378467,Ar Ruhayd,الرهيد
SDN-942B69992162-658B75251993-X-367421,Serrha,Serha
SDN-942B69992162-658B74043765-X-376260,Doteit,
SDN-942B51960613-658B21018606-X-380842,Abū Ḩarāz,أبو حراز
SDN-942B11096066-658B86367930-X-368398,Qerri,
SDN-942B53073919-658B4455443-X-364576,Umm Subagha,أمّ سبغ
SDN-942B1690804-658B80869572-X-369187,Niarshige,
SDN-942B53073919-658B31729364-X-7018689,Ḑahar Jihena,Ḑahar Jihena
SDN-942B86275988-658B29195193-X-372071,Kreyu,Kneyu
SDN-942B82453041-658B49381066-X-8047382,El Bandaga,
SDN-942B51960613-658B15336674-X-370525,Wad Maqbul,ود مقبل
SDN-942B11096066-658B61474799-X-372848,Hillat Karari,هلّة كرر
SDN-942B80268870-658B49244776-X-366849,Singerab,السنقرب الغرب
SDN-942B97861395-658B53081734-X-372336,Kitrah,كترة
SDN-942B86275988-658B7364354-X-8148668,Hugeilig,
SDN-942B80268870-658B30942172-X-363994,Walad Sabir,
SDN-942B80268870-658B30942172-X-363994,Walad Sabir,ولد سبر
SDN-942B69992162-658B39799222-X-367202,Shawa,شو
SDN-942B80268870-658B49244776-X-378206,‘Aţmūr,عطمور
SDN-942B82453041-658B19894577-X-365798,Tomat,تومت
SDN-942B82453041-658B59248673-X-376843,Dakadim,دكدم
SDN-942B82453041-658B49381066-X-8613028,Umm Keddula,
SDN-942B80268870-658B44324333-X-7011126,El Linqawi,El Linqawi
SDN-942B51960613-658B22792001-X-7026527,Ḩiredāna,Ḩiredāna
SDN-942B69992162-658B5492704-X-379665,Al ‘Ayn,العين
SDN-942B51960613-658B786718-X-366931,Shuyein,
SDN-942B93854462-658B86266976-X-376215,Duga,
SDN-942B69992162-658B74043765-X-365210,Umm Dakli,أمّ دكل
SDN-942B97861395-658B5321418-X-7001957,Fēd Annabag,Fēd Annabag
SDN-942B3923818-658B82603768-X-8384738,Bisgweti,
SDN-942B97861395-658B65612712-X-379176,Alleira Lauti,Chando
SDN-942B69992162-658B75251993-X-364562,Umm Sumaymah,أمّ سميمة
SDN-942B90817386-658B3360231-X-7024833,Qaryah Thamānīyah,قرية ثمانيّة
SDN-942B93854462-658B84587935-X-381215,Abaka,أبك
SDN-942B97552203-658B65520291-X-365389,Um Ditēs,Um Dites
SDN-942B6749338-658B2878490-X-365993,Timinar,تمنار
SDN-942B97861395-658B73116180-X-372030,Kudba,كدب
SDN-942B69992162-658B61272609-X-379386,Al Ḩumr,الحمر
SDN-942B80268870-658B49744868-X-443873,Ed Deim,Ed Deim
SDN-942B11096066-658B86367930-X-380165,Hillat ed Dom,الدوم
SDN-942B51960613-658B15336674-X-364284,Wad al Hindī,ود الهندي
SDN-942B88867350-658B88867350-X-379153,Al Malamm,الملمّ
SDN-942B2883900-658B55313236-X-378484,Ar Raraba,الررب
SDN-942B51960613-658B59992430-X-364274,Wad al Kāshif,ود الكاشف
SDN-942B97861395-658B65612712-X-379726,‘Alālī,علالي
SDN-942B1690804-658B28872194-X-377981,Baabai,بأبإ
SDN-942B86275988-658B3195466-X-380388,Abū Umm Bashīr,أبو أمّ بشير
SDN-942B53073919-658B51731802-X-6991872,Hillat al Mahammadiya,هلّة المهمّدي
SDN-942B3923818-658B75219108-X-8384705,Genrina,
SDN-942B97861395-658B72272794-X-365716,Towar,توور
SDN-942B91082353-658B282942-X-380027,Agani,أغأن
SDN-942B69992162-658B39799222-X-365246,Umm Bughaylah,أمّ بغيلة
SDN-942B97552203-658B65520291-X-381110,Abekr,
SDN-942B53073919-658B31729364-X-7018731,Al Kiter Balla,Al Kiter Balla
SDN-942B97861395-658B53081734-X-368313,Qurdūd,قردود
SDN-942B80268870-658B14038138-X-7010539,El Wi’er,El Wi’er
SDN-942B97861395-658B73116180-X-7029631,Kojala,كوجل
SDN-942B6749338-658B86158910-X-374666,Gronti,قرنتى
SDN-942B80268870-658B60481889-X-443975,Hillat ‘Ared Qoz el Ttalha,Hillat ‘Ared Qoz el Ttalha
SDN-942B97861395-658B53081734-X-364651,Umm Seirin,
SDN-942B80268870-658B49744868-X-443941,Hillat el Qoz,Hillat el Qoz
SDN-942B1690804-658B65009750-X-7746424,Kungar,كنغأر
SDN-942B97552203-658B471537-X-364062,Wad Salim,ود سلم
SDN-942B11858188-658B54409955-X-377738,Baqbaqah,
SDN-942B53073919-658B51731802-X-375247,Gaboga,غأبوغأ
SDN-942B11858188-658B75044057-X-7002042,Wad al ‘Ajūz,ود العجوز
SDN-942B86275988-658B3195466-X-365480,‘Udayrah,عديرة
SDN-942B80268870-658B42379236-X-366698,Sulaymānīyah,سليمانيّة
SDN-942B93854462-658B79993469-X-8390136,Kujang,
SDN-942B51960613-658B786718-X-364376,‘Uţaysh,عطيش
SDN-942B1690804-658B28872194-X-370368,Masimbo,مسمبو
SDN-942B51960613-658B77015060-X-373335,Jirābīyah,جرابيّة
SDN-942B53073919-658B51731802-X-7026046,Aḑ Ḑiresāb,Aḑ Ḑiresāb
SDN-942B80268870-658B49744868-X-444025,Awlaq esh Shekh Babikir,Awlaq esh Shekh Babikir
SDN-942B86275988-658B58223905-X-8147402,Soleicha,
SDN-942B51960613-658B21018606-X-377917,Bagasa,بغأس
SDN-942B1690804-658B38017091-X-380722,Abū Kulaywāt,أبو كليوات
SDN-942B53073919-658B13785953-X-365220,Umm Chiachelli,
SDN-942B11858188-658B18597122-X-364058,Wad Shabut,ود شبت
SDN-942B11858188-658B18597122-X-364058,Wad Shabut,
SDN-942B2883900-658B55313236-X-381161,‘Abd al Karīm,عبد الكريم
SDN-942B51960613-658B15786683-X-7026211,Ab Qarqur,أب قرقر
SDN-942B53073919-658B31729364-X-7018752,Majaq,مجق
SDN-942B1690804-658B28872194-X-379133,Al Mashaba,المشب
SDN-942B93854462-658B67199928-X-372233,Kolongei,
SDN-942B80268870-658B14038138-X-444064,Hillat Banat,هلّة بنت
SDN-942B93854462-658B54406774-X-8384958,Kasa,كس
SDN-942B51960613-658B15336674-X-7026656,Ḩisen Ḩaj Muşţafa,Ḩisen Ḩaj Muşţafa
SDN-942B53073919-658B95748812-X-377709,Barak ath Thawr,برك الثور
SDN-942B86275988-658B38164504-X-370034,Mirandi,مرند
SDN-942B2883900-658B61672055-X-377694,Barankawa,برنكو
SDN-942B53073919-658B41183340-X-368154,Rashid aţ Ţayyib,رشد الطيّب
SDN-942B80268870-658B60481889-X-443858,El Hadahed,El Hadahed
SDN-942B6749338-658B2878490-X-379823,Akkad,اكد
SDN-942B3923818-658B4724147-X-7750474,Turru,ترّ
SDN-942B51960613-658B786718-X-7026605,Ad Dishenāt,Ad Dishenāt
SDN-942B3923818-658B99019531-X-372629,Kelling,
SDN-942B2883900-658B61672055-X-378160,Attib,أتّب
SDN-942B2883900-658B61672055-X-375192,Jalqani,جلقن
SDN-942B11096066-658B38962047-X-373905,Hawwa,هوّ
SDN-942B69992162-658B75251993-X-370801,Majrūr,مجرور
SDN-942B86275988-658B26102505-X-373138,Kafandu,كفند
SDN-942B86275988-658B26102505-X-373138,Kafandu,كفند
SDN-942B11858188-658B75044057-X-7002057,At Tumsāh,التمساة
SDN-942B53073919-658B95748812-X-7029194,Um Ḑiresa,Um Ḑiresa
SDN-942B2883900-658B65201614-X-7029220,Wad Aj Jok,ود أج جوك
SDN-942B80268870-658B49244776-X-379283,Al Kanīsah,الكنيسة
SDN-942B69992162-658B39799222-X-366956,Ḩammād Shuraym ad Dawm,حمّاد شريم الدوم
SDN-942B51960613-658B15786683-X-7026317,Az Ziberāt,Az Ziberāt
SDN-942B80268870-658B44324333-X-444118,Khlewa,Khlewa
SDN-942B90817386-658B22920435-X-364030,Wad Zumur,ود زمر
SDN-942B69992162-658B83593835-X-373847,Higeina,
SDN-942B69992162-658B39799222-X-373771,Ḩudayd ash Sharīfī,حديد الشريفي
SDN-942B93854462-658B64088994-X-381061,Abota,
SDN-942B1690804-658B45814631-X-377993,Az Zayyādīyah,الزيّاديّة
SDN-942B82453041-658B70441121-X-366903,Sigeir Umm Sa‘una,أمّ سعن
SDN-942B1690804-658B90950158-X-371074,Lukka,لكّ
SDN-942B6749338-658B12204731-X-370913,Magashi,مغأش
SDN-942B51960613-658B22792001-X-7026548,Wad Ḩisen,Wad Ḩisen
SDN-942B80268870-658B14038138-X-444119,El Moqrar,El Moqrar
SDN-942B80268870-658B60481889-X-443982,Hillat el Hirerab,Hillat el Hirerab
SDN-942B97861395-658B73116180-X-7029680,Gardud al Bashem,Gardud al Bashem
SDN-942B86275988-658B58223905-X-377966,Baba,بب
SDN-942B53073919-658B51731802-X-364302,Wad al Ballah,ود البلّة
SDN-942B80268870-658B14038138-X-374943,Hillat Garsi,هلّة غأرس
SDN-942B1690804-658B32348928-X-373008,Kalkal,كلكل
SDN-942B69992162-658B74043765-X-364493,Umm ‘Usharah,أمّ عشرة
SDN-942B53073919-658B21898088-X-368221,Raḩmah,رحمة
SDN-942B97861395-658B91404659-X-6979649,Tuli,تل
SDN-942B93854462-658B23094141-X-373622,‘Idd al Khāla,عدّ الخال
SDN-942B80268870-658B14038138-X-378365,Ash Shigri,الشغر
SDN-942B51960613-658B15786683-X-7026184,Ash Shekh Al Başīr,Ash Shekh Al Başīr
SDN-942B69992162-658B75251993-X-374305,Ḩajlīj,حجليج
SDN-942B1690804-658B45814631-X-364559,Umm Sumeima,
SDN-942B1690804-658B45814631-X-364559,Umm Sumeima,
SDN-942B51960613-658B786718-X-378165,Aţ Ţayyib Aḩmad,الطيّب أحمد
SDN-942B86275988-658B7364354-X-8148692,Goweighin,
SDN-942B80268870-658B44324333-X-444092,Gondar,غوندر
SDN-942B11858188-658B54409955-X-367015,Shu‘ayb,شعيب
SDN-942B11096066-658B55709038-X-6992225,Hillat Raboub,هلّة ربوب
SDN-942B97552203-658B56170266-X-375682,Fa‘fa‘,فعفع
SDN-942B51960613-658B15336674-X-378167,Aţ Ţayyārah,الطيّارة
SDN-942B97861395-658B72272794-X-6977033,Tabaldiyya,تبلديّ
SDN-942B2883900-658B65201614-X-378282,As Su‘ayf,السعيف
SDN-942B93854462-658B79993469-X-8390029,Burunga,
SDN-942B2883900-658B65201614-X-372940,Kamrab,كمرب
SDN-942B51960613-658B15786683-X-365131,Hillat Umm Diweneb,Hillat Umm Diweneb;Umm Duweinab;Umm Duweinib
SDN-942B53073919-658B95748812-X-7028887,Dabra,دبر
SDN-942B93854462-658B34022269-X-372211,Kondobei,
SDN-942B51960613-658B51623620-X-6991753,Tftesh aj Jidad,Tftesh aj Jidad
SDN-942B90817386-658B3360231-X-375488,Faras East,
SDN-942B90817386-658B3360231-X-7024550,Hillat Um Milih,هلّة أم ملة
SDN-942B97861395-658B90615655-X-7031470,Ab Deinar,Ab Deinar
SDN-942B3923818-658B82603768-X-8384740,Kabok,كبوك
SDN-942B97552203-658B471537-X-364942,Umm Jināḩ,أمّ جناح
SDN-942B86275988-658B29195193-X-380618,Abū Quşşah,أبو قصّة
SDN-942B3923818-658B82603768-X-372047,Kubda,كبد
SDN-942B80268870-658B14038138-X-444053,Ennuba Wad Fadniya,Ennuba Wad Fadniya
SDN-942B1690804-658B38017091-X-365337,Umm Atam,أمّ أتم
SDN-942B97861395-658B91404659-X-6979636,Kudno,كدنو
SDN-942B97861395-658B17388764-X-8249911,Togari,توغأر
SDN-942B51960613-658B51623620-X-6991683,Hillat Mona,هلّة مون
SDN-942B97861395-658B29973886-X-366209,Telgan,
SDN-942B86275988-658B58223905-X-379151,El Malwi,الملو
SDN-942B80268870-658B60481889-X-443881,Hillat Umm Makharoqa,هلّة أمّ مخروق
SDN-942B93854462-658B67199928-X-376700,Darsa,
SDN-942B97552203-658B56170266-X-365639,Tulu,تل
SDN-942B1690804-658B73360873-X-363454,Zīrug,زيرغ
SDN-942B93854462-658B86266976-X-8388160,Sa Nyamu,بر دهن
SDN-942B51960613-658B22792001-X-7026503,Ashshuwerif,Ashshuwerif
SDN-942B97861395-658B5321418-X-7002021,Al Fungus,الفنغأس
SDN-942B11096066-658B55709038-X-6992224,Hillat Raboub ad Donky,هلّة ربوب الدونكي
SDN-942B1690804-658B73360873-X-365199,Umm Daraba,أمّ درب
SDN-942B11858188-658B75044057-X-7002026,Bābikri,بابكر
SDN-942B53073919-658B31729364-X-7018738,Muzdalifa,مزدلف
SDN-942B53073919-658B31729364-X-7018724,Um Biwera,Um Biwera
SDN-942B51960613-658B15336674-X-372558,Khalīfah Sharīf,خليفة شريف
SDN-942B1690804-658B28872194-X-365013,Umm Hashābah,أمّ هشابة
SDN-942B6749338-658B55920549-X-375035,Geddi,
SDN-942B97861395-658B99970676-X-366692,Şulb al Khawr,صلب الخور
SDN-942B51960613-658B786718-X-7026618,Um Bi‘ebīsh,Um Bi‘ebīsh
SDN-942B1690804-658B28872194-X-367189,Shawrī,شوري
SDN-942B97552203-658B471537-X-368426,Qawz ar Rayy,قوز الريّ
SDN-942B11096066-658B16705481-X-6992712,Hillat Kibir Ab Kodi,هلّة كبر أب كود
SDN-942B51960613-658B51623620-X-6991687,As Sidera al Ghrbiya,As Sidera al Ghrbiya
SDN-942B51960613-658B15336674-X-369028,An Niwela,نويلة
SDN-942B86275988-658B98788246-X-373361,Jefawa,
SDN-942B69992162-658B61272609-X-379101,Al Milḩ,الملح
SDN-942B6749338-658B87167729-X-364021,Wāḩat Salīmah,واحة سليمة
SDN-942B3923818-658B75219108-X-8390869,Moriso,
SDN-942B97552203-658B36248286-X-371978,Kulayl,كليل
SDN-942B97861395-658B91404659-X-6979558,Gardud Abu Addakir,غأردد أب أدّكر
SDN-942B51960613-658B22792001-X-370338,Maţmar,مطمر
SDN-942B86275988-658B7364354-X-8046939,El Muhara,
SDN-942B91082353-658B90307628-X-369594,Musimbala,مسمبل
SDN-942B51960613-658B786718-X-372799,Karnab,كرنب
